region,sector,market,country,week_ending,rank,ticker,direction,strength,raw_score,volume_date,dollar_vol_latest,latest_volume,dollar_vol_week,weekly_return,vol_ratio,currentPrice,priceDate,previousClose,previousCloseDate,closeChange,closeChangePct,closeDirection,marketCap,trailingPE,forwardPE,priceToBook,pegRatio,profitMargins,operatingMargins,grossMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,totalDebt,debtToEquity,currentRatio,quickRatio,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,fiftyTwoWeekLow,fiftyTwoWeekHigh,shortName,industry,currency,exchange,longBusinessSummary,asof_utc,return_7d
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,1,0700.HK,Bearish,27,-0.27833714660137204,2026-09-24,6259450562.454346,14277944.0,68560169319.915955,0.04630070142359033,1.4094491674460317,438.3999938964844,2026-09-24,441.0,2026-09-23,-2.600006103515625,-0.00589570545014881,down,3873745928192.0,14.084507,11.900679,2.9241478,1.29,0.29868,0.32852,0.56699,0.19906001,0.07867,0.11,0.018,471828004864.0,38.595,1.287,1.07,1.23,0.17979999,0.71,0.74,411.0,683.0,TENCENT,Internet Content & Information,HKD,HKG,"Tencent Holdings Limited, an investment holding company, provides value-added services, marketing services, fintech, and business services in Mainland China and internationally. The company's consumers business includes communications and social services, such as instant messaging and social networks; digital content, including online games, videos, live streaming, news, music, and literature; fintech services, which include mobile payment, wealth management, consumer loans, and securities trading; and various tools comprising network security management, browsing, navigation, application management, email, etc. Its enterprise business comprises marketing solutions, which offer digital tools, including user insight, creative management, placement strategy, and digital assets management; and cloud services, such as cloud computing, big data analytics, artificial intelligence, Internet of Things, and security and other technologies for financial services, education, healthcare, retail, industry, transport, energy, and radio and television industries. The company also invests in, produces, and distributes films and television programs; offers copyrights licensing and merchandise sales and other services; provides internet advertisement services; and offers software development, and information technology and system integration services, as well as develops and operates mobile games. The company was formerly known as Tencent (BVI) Limited and changed its name to Tencent Holdings Limited in February 2004. Tencent Holdings Limited was founded in 1998 and is headquartered in Shenzhen, the People's Republic of China.",2026-09-21T23:20:06.997190+00:00,-0.00091156314405616
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,2,9988.HK,Bearish,27,-0.27833714660137204,2026-09-24,4098598240.0,37259984.0,43871055302.04411,0.0064043634830524,0.8927113429415922,110.0,2026-09-24,109.80000305175781,2026-09-23,0.1999969482421875,0.0018214657803598824,up,2239049760768.0,25.190157,12.037367,1.7196085,0.52,0.07039,0.07295,0.38199002,0.0636,0.015620001,0.086,-0.794,266529996800.0,23.928,1.362,0.725,0.91,0.24040002,,0.5,88.65,186.2,BABA-W,Internet Retail,HKD,HKG,"Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to help merchants, brands, retailers, and other businesses in the People's Republic of China and internationally. It operates through the Alibaba China E-Commerce Group, Alibaba International Digital Commerce Group, Cloud Intelligence Group, and All Others segments. The Alibaba China E-commerce Group segment operates Taobao and Tmall, which are digital retail platforms; Taobao Instant Commerce, a local services and on-demand delivery platform; 1688.com, a domestic wholesale marketplace; and Xianyu, a consumer-to-consumer community and marketplace for idle goods. Its Alibaba International Digital Commerce Group segment includes AliExpress, a global e-commerce platform; Trendyol, an e-commerce platform in Turkey; Lazada, an e-commerce platform in Southeast Asia; Daraz, an e-commerce platform in South Asia, primarily in Pakistan and Bangladesh; and Alibaba.com, an integrated international online wholesale marketplace. The Cloud Intelligence Group segment offers a suite of cloud services based on infrastructure-as-a-service, platform-as-a-service, and model-as-a-service. Its All Others segment comprises Amap, a provider of mobile digital maps, navigation, and real-time traffic information in China; Cainiao, which provides logistics solutions; Youku, an online long-form video platform in China; Freshippo, a retail platform for groceries and fresh goods; and Alibaba Health, a pharmaceutical and healthcare services platform. Alibaba Group Holding Limited was incorporated in 1999 and is based in Hangzhou, China.",2026-09-21T23:20:06.997190+00:00,0.0261194321965299
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,3,0005.HK,Bearish,27,-0.27833714660137204,2026-09-24,1678708807.8970947,10699228.0,7781328482.681656,-0.029084232855910774,0.837897326990531,156.89999389648438,2026-09-24,159.5,2026-09-23,-2.600006103515625,-0.016300978705427117,down,2763401461760.0,14.708562,11.204613,2.0428035,0.9,0.37797,0.58768004,0.0,0.13104999,0.00782,0.254,,837577998336.0,,,,3.63,0.535,5.07,0.571,100.4,169.7,HSBC HOLDINGS,Banks - Diversified,HKD,HKG,"HSBC Holdings plc engages in the provision of banking and financial products and services worldwide. It operates through four segments: Hong Kong, UK, Corporate and Institutional Banking, and International Wealth and Premier Banking. The Hong Kong segment is involved in the retail banking and wealth and commercial banking of HSBC Hong Kong and Hang Seng Bank. The UK segment engages in UK retail banking and wealth, as well as first direct and M&S Bank, UK Commercial Banking, and HSBC Innovation Bank. The Corporate and Institutional Banking segment is involved in transaction banking and capital markets. The International Wealth and Premier Banking segment is involved in the business comprising premier banking outside of Hong Kong and the UK, its private bank, asset management, and insurance businesses. The company was founded in 1865 and is headquartered in London, the United Kingdom.",2026-09-21T23:20:06.997190+00:00,-0.016917369071277055
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,4,1299.HK,Bearish,27,-0.27833714660137204,2026-09-24,1398765199.1152039,18453366.0,11566627080.058487,-0.012377810400549638,1.0772022828238978,75.80000305175781,2026-09-24,75.3499984741211,2026-09-23,0.45000457763671875,0.005972190932310006,up,796947841024.0,12.978188,11.475349,2.4973197,1.01,0.30879998,0.35671002,0.40584,0.19615,0.01577,-0.025,0.727,21326999552.0,51.982,2.241,0.985,2.56,0.3243,2.26,0.648,68.95,92.15,AIA,Insurance - Life,HKD,HKG,"AIA Group Limited, together with its subsidiaries, provides life insurance based financial services in Hong Kong. The company offers life insurance, accident, and health insurance and savings plans; and employee benefits, credit life, and pension services to corporate clients. It is also involved in the distribution of investment and other financial services products. It sells its products through a network of agents and partners in Mainland China, Macau, Thailand, Singapore, Malaysia, Australia, Cambodia, Indonesia, Myanmar, New Zealand, the Philippines, South Korea, Sri Lanka, Taiwan, Brunei, Vietnam, and India. AIA Group Limited was founded in 1919 and is headquartered in Central, Hong Kong.",2026-09-21T23:20:06.997190+00:00,-0.0032873108477045054
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,5,3690.HK,Bearish,27,-0.27833714660137204,2026-09-24,1266223444.0,17525584.0,7973740357.259048,-0.012978100926888114,0.53301072392617,72.25,2026-09-24,72.8499984741211,2026-09-23,-0.5999984741210938,-0.008236080805605433,down,413858922496.0,,15.361348,2.5678804,28.72,-0.100430004,-0.00574,0.28719,-0.21756001,-0.08067001,0.139,,95817302016.0,56.647,1.911,1.45,,0.0,,0.218,63.65,108.0,MEITUAN-W,Internet Retail,HKD,HKG,"Meituan operates as a technology driven retail company in the People's Republic of China, Hong Kong, Macao, Taiwan, and internationally. It operates through Core Local Commerce and New Initiatives segments. The company offers daily goods and services, such as food delivery, in-store, hotel and travel booking, and other services and sales; bike sharing, e-moped sharing, power banks and micro-credit; and operates Kuailv and Xiaoxiang Supermarkets. It also sells goods from B2B food distribution services; provides online marketing services to merchants; e-commerce; multimedia information technology; online retail platform; cloud computing; and merchant information advisory services. The company was formerly known as Meituan Dianping and changed its name to Meituan in October 2020. Meituan was founded in 2003 and is headquartered in Beijing, China.",2026-09-21T23:20:06.997190+00:00,-0.03344481605351168
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,6,0939.HK,Bearish,27,-0.27833714660137204,2026-09-24,1148543400.5294647,118651174.0,8022220657.934024,0.009384791569956752,0.7094357310893392,9.680000305175781,2026-09-24,9.65999984741211,2026-09-23,0.020000457763671875,0.002070440794989241,up,2551911809024.0,6.417763,5.987528,0.60851765,1.06,0.55369,0.65954,0.0,0.09404001,0.0076,0.079,-0.005,6312447967232.0,,,,4.5,0.2992,7.76,0.245,7.18,9.9,CCB,Banks - Diversified,HKD,HKG,"China Construction Bank Corporation engages in the provision of various banking and related financial services to individuals and corporate customers in the People's Republic of China and internationally. It operates through Corporate Finance Business, Personal Finance Business, Treasury and Asset Management Business, and Others segments. The company offers corporate and personal loans; trade financing; deposit taking and wealth management, agency, financial consulting and advisory, cash management, remittance and settlement, guarantee, and investment banking services to individuals, corporations, government agencies, and financial institutions. It is also involved in inter-bank deposit and placement transactions, repurchase and resale transactions, and invests in debt securities; trades in derivatives and foreign currencies; precious metal trading; and custody services. In addition, the company provides finance leasing, transfer and purchase of finance lease assets, and fixed-income investment; motor vehicle, business and household property, construction and engineering, liability insurance, hull and cargo, and short-term health and accidental injury insurance, as well as reinsurance; and cost consulting, whole-process engineering consulting, project management, investment consulting, and bidding agency services; and debt-to-equity swaps and relevant supporting businesses. Further, it engages in private equity investment and management of development funds and other private equity funds; investment banking related services, such as sponsoring and underwriting of public offerings, corporate merger and acquisition and restructuring, direct investment, asset management, and securities brokerage and market research; house rental business; raising and selling of funds; management of annuity and pension funds; and pension advisory service. China Construction Bank Corporation was founded in 1954 and is headquartered in Beijing, the People's Republic of China.",2026-09-21T23:20:06.997190+00:00,0.007284146826154858
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,7,0388.HK,Bearish,27,-0.27833714660137204,2026-09-24,641594083.0458069,1630895.0,5114845239.844879,0.013917510042485537,0.7688261623721546,393.3999938964844,2026-09-24,395.79998779296875,2026-09-23,-2.399993896484375,-0.006063653285759424,down,494476328960.0,24.996807,24.147062,8.152208,2.51,0.62893003,0.75986,0.96614,0.33569,0.029509999,0.189,0.214,946000000.0,1.552,1.052,0.446,3.8,0.801,2.68,0.935,360.0,460.2,HKEX,Financial Data & Stock Exchanges,HKD,HKG,"Hong Kong Exchanges and Clearing Limited, together with its subsidiaries, owns and operates stock and futures exchanges, and related clearing houses in Hong Kong, the United Kingdom, and Mainland China. It operates through Cash, Equity and Financial Derivatives, Commodities, and Data and Connectivity segments. The Cash segment covers various equity products traded on the cash market platforms of the Stock Exchange of Hong Kong Limited, as well as through the Shanghai-Hong Kong and the Shenzhen-Hong Kong stock connects; clearing, settlement and custodian, listing, depository, and nominee services; and other related activities. Its Equity and Financial Derivatives segment provides and maintains trading and clearing platforms for a range of equity and financial derivative products, such as stock and equity index futures and options, derivative warrants, callable bull/bear contracts and warrants, and over the counter derivatives contracts. The Commodities segment operates an exchange for the trading of base and ferrous metals futures and options contracts in the United Kingdom; and operates Qianhai Mercantile Exchange Co., Ltd., a commodity trading platform in Mainland China. This segment also covers commodities contracts traded on Futures Exchange. Its Data and Connectivity segment offers various services that provides access to the platform and infrastructure, as well as services of BayConnect Technology Company Limited; network, terminal user, data line and software sublicense, and hosting services; and sells market data relating to the Hong Kong cash and derivatives markets. The company serves issuers and investors. Hong Kong Exchanges and Clearing Limited was incorporated in 1999 and is based in Central, Hong Kong.",2026-09-21T23:20:06.997190+00:00,-0.0010157285649654568
APAC,APAC,Hong Kong,Hong Kong,2026-09-24,8,0941.HK,Bearish,27,-0.27833714660137204,2026-09-24,620245930.4951859,7861165.0,3465533431.3167496,-0.0018975524362813134,0.675719153739627,78.9000015258789,2026-09-24,78.80000305175781,2026-09-23,0.09999847412109375,0.001269016119903095,up,1717348597760.0,11.170662,10.879858,1.0327787,54.07,0.12618,0.18040001,0.27759,0.09345999,0.04059,-0.03,-0.071,98828001280.0,6.931,0.879,0.782,6.84,0.77410007,6.93,0.259,75.55,88.9,CHINA MOBILE,Telecom Services,HKD,HKG,"China Mobile Limited provides communication, computing, and AI services in Mainland China and Hong Kong. It offers communications services, including mobile communications, broadband networks, cellular IoT, and satellite Internet; computing services comprising data centers, cloud computing services, and cloud computing applications; and AI services, such as data algorithms, embodied intelligence, digital intelligence culture, digital intelligence e-commerce, and industry digital intelligence services. The company was formerly known as China Mobile (Hong Kong) Limited and changed its name to China Mobile Limited in May 2006. The company was incorporated in 1997 and is based in Central, Hong Kong. China Mobile Limited operates as a subsidiary of China Mobile Hong Kong (BVI) Limited.",2026-09-21T23:20:06.997190+00:00,-0.0018975524362813134
APAC,APAC,India,India,2026-09-24,1,HDFCBANK.NS,Bearish,27,-0.27833714660137204,2026-09-24,21500257600.738037,29496854.0,119852016301.08752,-0.002872743619613538,1.1817351342900344,728.9000244140625,2026-09-24,737.25,2026-09-23,-8.3499755859375,-0.011325840062309257,down,11400560771072.0,16.160402,11.725283,1.8777949,0.89,0.26787,0.33291999,0.0,0.13838,0.0175,0.166,0.181,5658713784320.0,,,,1.78,0.24040002,1.08,0.404,681.9,1020.5,HDFC BANK LTD,Banks - Regional,INR,NSI,"HDFC Bank Limited provides banking and financial products and services to individuals and businesses in India, Bahrain, Hong Kong, Singapore, and Dubai. The company operates through Treasury, Retail Banking, Wholesale Banking, Other Banking Business, Insurance Business, and Other segments. It offers savings, salary, current, rural, public provident fund, pension, and demat accounts; fixed and recurring deposits; and safe deposit lockers, as well as offshore accounts and deposits, and overdrafts against fixed deposits. The company also provides personal, home, car and pre owned car, marriage, two-wheeler, business, doctor, educational, gold, consumer, and rural loans; loans against properties, securities, mutual funds, and car; loans for professionals; government sponsored programs; and loans on credit card, as well as working capital, term loans, supply chain management, project finance, export finance, commercial vehicle / equipment finance, tractor finance, infrastructure, and agriculture finance. In addition, it offers credit, debit, prepaid, forex, and kisan gold cards; payment and collection, export, import, remittance, bank guarantee, letter of credit, trade, hedging, and merchant and cash management services; and insurance and investment products. Further, the company provides short term finance, bill discounting, structured finance, export credit, loan repayment, custodial, and documents collection services; online, mobile, and phone banking services; unified payment interface, immediate payment, national electronic funds transfer, and real time gross settlement services; channel financing, vendor financing, money market, derivatives, employee trusts, cash surplus corporates, tax payment, and bankers to rights/public issue services; and financial solutions for supply chain partners and agricultural customers. It operates branches and automated teller machines in various cities/towns. The company was incorporated in 1994 and is headquartered in Mumbai, India.",2026-09-21T23:20:06.997190+00:00,0.01723541529758843
APAC,APAC,India,India,2026-09-24,2,RELIANCE.NS,Bearish,27,-0.27833714660137204,2026-09-24,16947264588.473633,13900316.0,71653022766.44641,-0.005870901091695191,1.1018936865618887,1219.199951171875,2026-09-24,1248.0,2026-09-23,-28.800048828125,-0.023076962202023238,down,16880406364160.0,22.601921,17.47328,1.8672396,0.82,0.066149995,0.12331,0.33837003,,,0.297,-0.224,3979999969280.0,36.653,,,0.49,0.2083,0.44,0.152,1226.4,1611.8,RELIANCE INDUSTRIES LTD,Oil & Gas Refining & Marketing,INR,NSI,"Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, advanced materials and composites, renewable, financial services, retail, and digital services worldwide. It operates through the Oil to Chemicals, Oil and Gas, Retail, Digital Services, and Others segments. The company is involved in refining and marketing products, including liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosine oil, diesel, sulfur, and petroleum coke. It also provides polymers comprising high-density and low-density polyethylene (PE), linear low-density PE, homopolymer, random and impact copolymer, and polyvinyl chloride; fiber intermediates that include purified terephthalic acid, and ethylene glycols and oxide; aromatics, such as paraxylene, ortho xylene, benzene, and linear alkyl benzene and paraffin; and textiles that consist of fabrics, apparel, and auto furnishings. In addition, the company offers elastomers, such as polybutadiene rubber, styrene butadiene rubber, and butyl rubber; fiber and yarn polyesters; and bioenergy solutions, including compressed biogas, and pellets and briquettes. Further, it engages in oil and gas exploration and production activities; operation of various stores comprising supermarkets, hypermarket, wholesale cash and carry, specialty, and online stores; operation of media and entertainment platforms, and Network18 and television channels; and publishing of magazines. Additionally, the company provides highway hospitality and fleet management services, as well as digital services, such as connectivity, fiber, mobile devices, apps, business, and other digital solutions. Reliance Industries Limited was founded in 1957 and is based in Mumbai, India.",2026-09-21T23:20:06.997190+00:00,-0.01303334980964621
